time	X	Y
548.000	1.870	7.946
549.000	1.900	7.975
550.000	1.905	7.980
551.000	1.879	7.954
552.000	1.856	7.930
553.000	1.878	7.953
554.000	1.831	7.905
555.000	1.847	7.922
556.000	1.893	7.968
557.000	1.929	8.003
558.000	1.954	8.028
559.000	1.873	7.947
560.000	1.907	7.981
561.000	1.855	7.929
562.000	1.875	7.949
563.000	1.885	7.959
564.000	1.858	7.932
565.000	1.887	7.960
566.000	1.887	7.960
567.000	1.897	7.970
568.000	1.833	7.905
569.000	1.865	7.938
570.000	1.919	7.992
571.000	1.875	7.947
572.000	1.839	7.912
573.000	1.862	7.934
574.000	1.856	7.928
575.000	1.804	7.876
576.000	1.758	7.829
577.000	1.808	7.880
578.000	1.805	7.877
579.000	1.798	7.870
580.000	1.829	7.900
581.000	1.788	7.859
582.000	1.823	7.894
583.000	1.792	7.863
584.000	1.805	7.876
585.000	1.816	7.887
586.000	1.807	7.877
587.000	1.867	7.937
588.000	1.876	7.946
589.000	1.844	7.914
590.000	1.892	7.962
591.000	1.910	7.979
592.000	1.908	7.977
593.000	1.940	8.010
594.000	1.898	7.967
595.000	1.817	7.887
596.000	1.791	7.860
597.000	1.822	7.891
598.000	1.808	7.877
599.000	1.789	7.858
600.000	1.718	7.787
601.000	1.669	7.737
602.000	1.646	7.715
603.000	1.666	7.734
604.000	1.678	7.746
605.000	1.718	7.786
606.000	1.728	7.795
607.000	1.699	7.767
608.000	1.721	7.788
609.000	1.789	7.857
610.000	1.741	7.809
611.000	1.758	7.825
612.000	1.748	7.815
613.000	1.709	7.776
614.000	1.712	7.779
615.000	1.707	7.774
616.000	1.735	7.802
617.000	1.731	7.798
618.000	1.736	7.802
619.000	1.682	7.749
620.000	1.599	7.665
621.000	1.581	7.647
622.000	1.602	7.668
623.000	1.601	7.666
624.000	1.603	7.669
625.000	1.588	7.653
626.000	1.568	7.633
627.000	1.586	7.651
628.000	1.568	7.633
629.000	1.556	7.621
630.000	1.557	7.622
631.000	1.568	7.632
632.000	1.547	7.611
633.000	1.571	7.635
634.000	1.582	7.647
635.000	1.561	7.625
636.000	1.598	7.662
637.000	1.619	7.683
638.000	1.657	7.720
639.000	1.672	7.736
640.000	1.698	7.762
641.000	1.725	7.788
642.000	1.725	7.789
643.000	1.772	7.835
644.000	1.797	7.860
645.000	1.809	7.872
646.000	1.818	7.881
647.000	1.802	7.865
648.000	1.784	7.846
649.000	1.807	7.869
650.000	1.778	7.840
651.000	1.800	7.862
652.000	1.844	7.905
653.000	1.852	7.914
654.000	1.825	7.887
655.000	1.815	7.877
656.000	1.817	7.878
657.000	1.805	7.866
658.000	1.805	7.866
659.000	1.761	7.821
660.000	1.728	7.789
661.000	1.713	7.774
662.000	1.711	7.771
663.000	1.689	7.749
664.000	1.618	7.678
665.000	1.700	7.761
666.000	1.689	7.749
667.000	1.706	7.766
668.000	1.724	7.783
669.000	1.692	7.751
670.000	1.664	7.723
671.000	1.680	7.739
672.000	1.690	7.749
673.000	1.676	7.735
674.000	1.676	7.735
675.000	1.661	7.720
676.000	1.647	7.706
677.000	1.635	7.694
678.000	1.599	7.657
679.000	1.558	7.616
680.000	1.559	7.617
681.000	1.568	7.626
682.000	1.541	7.599
683.000	1.552	7.610
684.000	1.578	7.636
685.000	1.596	7.653
686.000	1.628	7.685
687.000	1.629	7.686
688.000	1.622	7.679
689.000	1.633	7.690
690.000	1.627	7.684
691.000	1.663	7.720
692.000	1.688	7.744
693.000	1.691	7.748
694.000	1.708	7.764
695.000	1.668	7.724
696.000	1.636	7.692
697.000	1.601	7.657
698.000	1.608	7.663
699.000	1.713	7.769
700.000	1.669	7.724
701.000	1.674	7.729
702.000	1.648	7.703
703.000	1.657	7.712
704.000	1.632	7.687
705.000	1.652	7.707
706.000	1.656	7.711
707.000	1.629	7.684
708.000	1.592	7.647
709.000	1.558	7.612
710.000	1.582	7.636
711.000	1.581	7.635
712.000	1.582	7.636
713.000	1.571	7.625
714.000	1.604	7.657
715.000	1.519	7.572
716.000	1.475	7.529
717.000	1.488	7.541
718.000	1.486	7.539
719.000	1.504	7.557
720.000	1.549	7.602
721.000	1.519	7.572
722.000	1.475	7.528
723.000	1.514	7.566
724.000	1.495	7.548
725.000	1.517	7.569
726.000	1.527	7.579
727.000	1.542	7.594
728.000	1.533	7.585
729.000	1.532	7.583
730.000	1.537	7.589
731.000	1.536	7.587
732.000	1.562	7.614
733.000	1.544	7.595
734.000	1.531	7.582
735.000	1.500	7.550
736.000	1.511	7.561
737.000	1.464	7.514
738.000	1.493	7.544
739.000	1.497	7.547
740.000	1.530	7.581
741.000	1.557	7.607
742.000	1.514	7.564
743.000	1.518	7.567
744.000	1.532	7.582
745.000	1.541	7.591
746.000	1.490	7.539
747.000	1.520	7.569
748.000	1.540	7.589
749.000	1.517	7.567
750.000	1.474	7.523
751.000	1.432	7.481
752.000	1.441	7.490
753.000	1.462	7.510
754.000	1.470	7.519
755.000	1.447	7.496
756.000	1.445	7.493
757.000	1.497	7.545
758.000	1.422	7.470
759.000	1.358	7.405
760.000	1.357	7.405
761.000	1.360	7.408
762.000	1.352	7.399
763.000	1.351	7.398
764.000	1.322	7.370
765.000	1.247	7.294
766.000	1.233	7.280
767.000	1.206	7.253
768.000	1.214	7.261
769.000	1.224	7.271
770.000	1.237	7.284
771.000	1.203	7.249
772.000	1.210	7.256
773.000	1.173	7.219
774.000	1.120	7.166
775.000	1.114	7.160
776.000	1.105	7.150
777.000	1.109	7.154
778.000	1.057	7.102
779.000	1.105	7.150
780.000	1.091	7.136
781.000	1.070	7.115
782.000	1.055	7.099
783.000	1.066	7.111
784.000	0.992	7.036
785.000	0.951	6.995
786.000	0.954	6.999
787.000	0.956	7.001
788.000	0.971	7.015
789.000	0.958	7.001
790.000	0.972	7.015
791.000	0.930	6.974
792.000	0.949	6.993
793.000	0.938	6.982
794.000	0.970	7.013
795.000	0.973	7.016
796.000	0.909	6.952
797.000	0.941	6.984
798.000	0.972	7.015
799.000	0.970	7.013
800.000	0.977	7.019
801.000	0.943	6.985
802.000	0.919	6.961
803.000	0.932	6.974
804.000	0.944	6.986
805.000	0.937	6.979
806.000	0.939	6.980
807.000	0.947	6.988
808.000	0.928	6.970
809.000	0.969	7.010
810.000	1.014	7.055
811.000	1.024	7.065
812.000	1.069	7.110
813.000	1.068	7.109
814.000	1.074	7.115
815.000	1.063	7.104
816.000	1.061	7.102
817.000	1.043	7.084
818.000	1.031	7.072
819.000	0.994	7.034
820.000	0.994	7.034
821.000	1.038	7.078
822.000	1.036	7.075
823.000	1.038	7.077
824.000	1.006	7.046
825.000	1.005	7.044
826.000	1.038	7.077
827.000	1.094	7.132
828.000	1.117	7.155
829.000	1.147	7.186
830.000	1.112	7.150
831.000	1.102	7.140
832.000	1.091	7.129
833.000	1.104	7.142
834.000	1.101	7.139
835.000	1.141	7.178
836.000	1.163	7.200
837.000	1.150	7.187
838.000	1.079	7.116
839.000	1.053	7.090
840.000	1.059	7.096
841.000	1.023	7.060
842.000	1.036	7.073
843.000	1.032	7.069
844.000	1.008	7.045
845.000	0.969	7.005
846.000	0.903	6.940
847.000	0.908	6.944
848.000	0.916	6.953
849.000	0.925	6.961
850.000	0.861	6.897
851.000	0.848	6.884
852.000	0.848	6.884
853.000	0.851	6.886
854.000	0.866	6.901
855.000	0.856	6.891
856.000	0.863	6.898
857.000	0.919	6.954
858.000	0.942	6.976
859.000	0.968	7.002
860.000	0.956	6.991
861.000	0.953	6.987
862.000	0.973	7.008
863.000	0.979	7.013
864.000	0.997	7.031
865.000	0.989	7.023
866.000	0.988	7.022
867.000	0.957	6.990
868.000	1.001	7.035
869.000	1.002	7.035
870.000	1.006	7.039
871.000	0.981	7.014
872.000	1.000	7.033
873.000	0.984	7.017
874.000	0.946	6.979
875.000	0.881	6.913
876.000	0.873	6.906
877.000	0.916	6.948
878.000	0.925	6.957
879.000	0.906	6.938
880.000	0.936	6.968
881.000	0.979	7.011
882.000	0.998	7.029
883.000	1.004	7.035
884.000	1.027	7.058
885.000	1.011	7.043
886.000	1.008	7.039
887.000	0.973	7.004
888.000	0.971	7.002
889.000	0.964	6.994
890.000	0.960	6.990
891.000	0.919	6.950
892.000	0.896	6.927
893.000	0.923	6.953
894.000	0.920	6.950
895.000	0.957	6.987
896.000	0.976	7.006
897.000	0.946	6.976
898.000	0.963	6.993
899.000	0.936	6.965
900.000	0.931	6.960
901.000	0.907	6.936
902.000	0.945	6.974
903.000	0.940	6.969
904.000	0.922	6.950
905.000	0.905	6.934
906.000	0.876	6.904
907.000	0.845	6.874
908.000	0.789	6.817
909.000	0.845	6.873
910.000	0.857	6.885
911.000	0.831	6.859
912.000	0.834	6.862
913.000	0.878	6.905
914.000	0.892	6.920
915.000	0.906	6.933
916.000	0.875	6.903
917.000	0.849	6.876
918.000	0.862	6.889
919.000	0.863	6.890
920.000	0.833	6.860
921.000	0.873	6.900
922.000	0.852	6.879
923.000	0.877	6.903
924.000	0.882	6.908
925.000	0.877	6.903
926.000	0.884	6.910
927.000	0.911	6.936
928.000	0.937	6.963
929.000	0.958	6.984
930.000	0.918	6.943
931.000	0.921	6.946
932.000	0.882	6.907
